date,1. open,2. high,3. low,4. close,5. volume,Thomson Reuters,1. open,2. high,3. low,4. close,5. volume,Facebook,1. open,2. high,3. low,4. close,5. volume,Apple,1. open,2. high,3. low,4. close,5. volume,Amazon,1. open,2. high,3. low,4. close,5. volume,Netflix,1. open,2. high,3. low,4. close,5. volume,GM,1. open,2. high,3. low,4. close,5. volume,Starbucks,1. open,2. high,3. low,4. close,5. volume,Nike,1. open,2. high,3. low,4. close,5. volume,Boeing,1. open,2. high,3. low,4. close,5. volume,McDonalds
2012-01-31,27.2900,29.1400,26.5900,27.4900,20442600,,0,0,0,0,0,0,409.4000,458.2400,409.0000,456.4800,244994800,,175.8900,196.5000,173.5000,194.4400,110536900,,70.2800,129.4800,70.1300,120.2000,261331800,,20.8300,25.5000,20.7500,24.0200,246595500,,46.8500,48.6200,45.2800,47.9200,122632100,,97.3700,104.9400,96.5100,103.9900,44880594,,74.7000,76.7000,72.7400,74.1800,103787200,,101.3300,102.2200,97.7000,99.0500,120351800,
2011-12-30,27.0800,27.3000,25.2800,26.6700,20663900,,0,0,0,0,0,0,382.5400,409.0900,377.6800,405.0000,225233300,,191.8500,199.6600,166.9700,173.1000,125595200,,64.4200,77.5900,64.0000,69.2900,120290800,,21.2400,22.1100,19.0000,20.2700,206055300,,43.2000,46.5000,42.6700,46.0100,102066800,,95.3600,98.2500,92.8900,96.3700,55472400,,68.7000,74.7400,68.5100,73.3500,116561100,,95.4400,101.0000,94.8200,100.3300,110500700,
2011-11-30,28.4900,30.0800,25.5800,27.0700,21612800,,0,0,0,0,0,0,397.4100,408.0000,363.3200,382.2000,320132200,,208.1100,222.3500,181.5100,192.2900,136588100,,80.1099,93.8400,62.3700,64.5300,150494500,,24.8200,25.1700,20.0600,21.2900,278090400,,41.3300,44.6950,40.5500,43.4800,144161700,,93.5100,97.5000,89.7900,96.1800,49004600,,64.2300,68.9700,62.1200,68.6900,114604000,,92.3100,95.5400,91.2200,95.5200,109863900,
2011-10-31,26.9700,30.4000,26.1100,29.6700,31310500,,0,0,0,0,0,0,380.3700,426.7000,354.2400,404.7800,469336700,,217.0100,246.7100,196.5100,213.5100,159214400,,115.1400,128.5000,74.2500,82.0800,241583300,,20.1300,26.5500,19.0500,25.8500,279029700,,36.8499,43.4300,35.1200,42.3600,149957600,,84.9500,97.6800,81.0100,96.3500,58173700,,60.1000,68.7600,56.9000,65.7900,127425600,,87.4300,93.8400,83.7400,92.8500,138108100,
2011-09-30,30.9800,31.2400,27.0400,27.0400,30423000,,0,0,0,0,0,0,385.8200,422.8600,366.4800,381.3200,427766000,,215.2800,244.0000,204.4700,216.2300,143623300,,234.5300,238.5000,107.6300,113.2700,239941200,,24.0900,24.2500,19.7700,20.1800,245694500,,38.8400,42.0000,36.4200,37.2900,172008300,,86.3500,92.5600,80.2000,85.5100,81782500,,66.9600,67.7300,57.5300,60.5100,124749900,,90.2700,91.0900,83.6500,87.8200,165750900,
2011-08-31,34.7300,34.8100,28.9100,30.9400,36963400,,0,0,0,0,0,0,397.7800,399.5000,353.0200,384.8300,576521400,,225.0000,227.4500,177.1000,215.2300,155194700,,268.5400,269.5000,203.3515,235.0100,91512100,,28.8800,28.8800,21.1800,24.0300,444275000,,40.4400,40.7700,33.7200,38.6200,230165600,,90.4200,90.4600,76.9800,86.6500,86535300,,71.6100,71.6300,56.0100,66.8600,194916400,,87.4900,91.2200,82.0100,90.4100,200669000,
2011-07-29,37.4700,37.8400,33.6400,34.4300,18842900,,0,0,0,0,0,0,335.9500,404.5000,334.2000,390.4800,380498100,,205.5500,227.2000,203.6100,222.5200,92808500,,262.0600,304.7900,251.4600,265.9900,102389500,,30.3500,32.0800,27.3100,27.6800,219484000,,39.6200,41.1100,38.9000,40.0900,140009000,,89.6500,94.2300,88.5500,90.1500,60381600,,73.8100,76.2000,69.0700,70.4700,106421300,,84.1600,89.5700,84.1500,86.4800,117018200,
2011-06-30,38.8800,38.8800,35.7100,37.5600,15317500,,0,0,0,0,0,0,348.8700,352.1320,310.5000,335.6700,330851800,,196.0600,206.2500,181.5900,204.4900,95563700,,269.4700,277.7000,240.1200,262.6900,87639400,,31.7000,31.7000,28.1650,30.3600,357738600,,36.5400,39.7900,34.6100,39.4900,143448600,,84.3400,90.5800,79.4400,89.9800,84334700,,77.9500,78.1000,70.2900,73.9300,103740100,,81.4700,84.9100,80.0000,84.3200,128508800,
2011-05-31,40.3700,40.9900,37.8100,38.9700,13327100,,0,0,0,0,0,0,349.7400,351.8300,329.4200,347.8300,246859300,,196.5700,206.3900,190.8800,196.6900,106274500,,238.2200,270.8000,225.3000,270.8000,96884000,,32.4100,33.4700,30.5000,31.8100,275094300,,36.4800,37.6700,34.8400,36.7900,126557400,,82.7800,86.5300,81.4100,84.4500,49308800,,80.3500,80.6500,75.1300,78.0300,87491500,,78.4000,83.0800,78.2000,81.5400,120036800,
2011-04-29,39.3600,41.3500,39.0200,40.4700,11609300,,0,0,0,0,0,0,351.1100,355.1300,320.1600,350.1300,330493900,,181.5800,197.8000,175.3700,195.8100,116749400,,241.0000,254.9800,224.4100,232.6700,111997100,,31.3900,33.2800,29.1700,32.0900,304610100,,37.2500,37.6600,35.0000,36.2000,133174800,,75.9400,82.7300,75.8200,82.3200,55775200,,74.2900,80.3400,70.8800,79.7800,95129600,,76.3000,78.5900,75.6600,78.3100,97983500,
